,book_title,book_image,book_price,book_availability,book_rating
1,A Light in the Attic,a-light-in-the-attic_1000/index.html,51.77,In stock,Three
2,Tipping the Velvet,tipping-the-velvet_999/index.html,53.74,In stock,One
3,Soumission,soumission_998/index.html,50.10,In stock,One
4,Sharp Objects,sharp-objects_997/index.html,47.82,In stock,Four
5,Sapiens: A Brief History of Humankind,sapiens-a-brief-history-of-humankind_996/index.html,54.23,In stock,Five
6,The Requiem Red,the-requiem-red_995/index.html,22.65,In stock,One
7,The Dirty Little Secrets of Getting Your Dream Job,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,In stock,Four
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,In stock,Three
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.60,In stock,Four
10,The Black Maria,the-black-maria_991/index.html,52.15,In stock,One
11,"Starving Hearts (Triangular Trade Trilogy, #1)",starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,In stock,Two
12,Shakespeare's Sonnets,shakespeares-sonnets_989/index.html,20.66,In stock,Four
13,Set Me Free,set-me-free_988/index.html,17.46,In stock,Five
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,In stock,Five
15,Rip it Up and Start Again,rip-it-up-and-start-again_986/index.html,35.02,In stock,Five
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,In stock,Three
17,Olio,olio_984/index.html,23.88,In stock,One
18,Mesaerion: The Best Science Fiction Stories 1800-1849,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,In stock,One
19,Libertarianism for Beginners,libertarianism-for-beginners_982/index.html,51.33,In stock,Two
20,It's Only the Himalayas,its-only-the-himalayas_981/index.html,45.17,In stock,Two
21,In Her Wake,in-her-wake_980/index.html,12.84,In stock,One
22,How Music Works,how-music-works_979/index.html,37.32,In stock,Two
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,30.52,In stock,Three
24,Chase Me (Paris Nights #2),chase-me-paris-nights-2_977/index.html,25.27,In stock,Five
25,Black Dust,black-dust_976/index.html,34.53,In stock,Five
26,Birdsong: A Story in Pictures,birdsong-a-story-in-pictures_975/index.html,54.64,In stock,Three
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,22.50,In stock,Three
28,Aladdin and His Wonderful Lamp,aladdin-and-his-wonderful-lamp_973/index.html,53.13,In stock,Three
29,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,40.30,In stock,Five
30,Wall and Piece,wall-and-piece_971/index.html,44.18,In stock,Four
31,The Four Agreements: A Practical Guide to Personal Freedom,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,In stock,Five
32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,In stock,Three
33,The Elephant Tree,the-elephant-tree_968/index.html,23.82,In stock,Five
34,The Bear and the Piano,the-bear-and-the-piano_967/index.html,36.89,In stock,One
35,Sophie's World,sophies-world_966/index.html,15.94,In stock,Five
36,Penny Maybe,penny-maybe_965/index.html,33.29,In stock,Three
37,Maude (1883-1993):She Grew Up with the country,maude-1883-1993she-grew-up-with-the-country_964/index.html,18.02,In stock,Two
38,"In a Dark, Dark Wood",in-a-dark-dark-wood_963/index.html,19.63,In stock,One
39,Behind Closed Doors,behind-closed-doors_962/index.html,52.22,In stock,Four
40,You can't bury them all: Poems,you-cant-bury-them-all-poems_961/index.html,33.63,In stock,Two
